image_name,confidence_value,IoU_value
IMG_20100101_030359.jpg,0,0
IMG_20100101_030359.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20180714_103055.jpg,0,0
IMG_20100101_021624.jpg,0,0
IMG_20100101_021624.jpg,0,0
IMG_20180714_102857.jpg,0,0
IMG_20180714_102857.jpg,0,0
IMG_20180714_102857.jpg,0,0
IMG_20180714_102857.jpg,0,0
IMG_20180714_102857.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180714_102729.jpg,0,0
IMG_20180713_104842.jpg,0,0
IMG_20180713_104842.jpg,0,0
IMG_20180719_143637.jpg,0,0
IMG_20180723_123154.jpg,0,0
IMG_20180723_123915.jpg,0,0
IMG_20180724_124841.jpg,0,0
IMG_20180724_124841.jpg,0,0
IMG_20180724_124841.jpg,0,0
IMG_20100101_032317.jpg,0,0
IMG_20180811_084336.jpg,0,0
IMG_20180717_122754.jpg,0,0
IMG_20180717_122754.jpg,0,0
IMG_20180723_145947.jpg,0,0
IMG_20180721_090151.jpg,0,0
IMG_20180720_142509.jpg,0,0
IMG_20180720_142509.jpg,0,0
IMG_20180720_142509.jpg,0,0
IMG_20180720_143100.jpg,0,0
IMG_20100101_032532.jpg,0,0
IMG_20180725_121427.jpg,0,0
IMG_20180721_091732.jpg,0,0
IMG_20180724_125716.jpg,0,0
IMG_20180723_145744.jpg,0,0
IMG_20180810_092905.jpg,0,0
IMG_20180723_123302.jpg,0,0
IMG_20180723_123302.jpg,0,0
IMG_20180723_123302.jpg,0,0
IMG_20180723_123302.jpg,0,0
IMG_20180723_123302.jpg,0,0
IMG_20180723_124655.jpg,0,0
IMG_20180723_124655.jpg,0,0
IMG_20180723_124655.jpg,0,0
IMG_20180723_123106.jpg,0,0
IMG_20180724_150928.jpg,0,0
IMG_20180724_150928.jpg,0,0
IMG_20180724_150928.jpg,0,0
IMG_20180810_092151.jpg,0,0
IMG_20180810_092151.jpg,0,0
IMG_20180810_092151.jpg,0,0
IMG_20180810_092151.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180723_145121.jpg,0,0
IMG_20180811_083617.jpg,0,0
IMG_20180811_083617.jpg,0,0
IMG_20100101_031126.jpg,0,0
IMG_20180723_123653.jpg,0,0
IMG_20180723_123653.jpg,0,0
IMG_20180719_143627.jpg,0,0
IMG_20180723_123134.jpg,0,0
IMG_20180724_121206.jpg,0,0
IMG_20180724_123854.jpg,0,0
IMG_20180725_122231.jpg,0,0
IMG_20100101_033117.jpg,0,0
IMG_20180721_090127.jpg,0,0
